pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,10/2/15,90.8,-2.99,6.29,"Arrieta, Jake",452252,453562,field_out,hit_into_play,,,,,5,Adam Lind pops out to third baseman Javier Baez in foul territory.,R,L,R,MIL,CHC,X,5,popup,2,0,2015,0.99,0.07,0.24,2.3,,,502582,2,6,Bot,77.25,170.24,,,471083,,151002_211208,6.498,-132.002,-4.635,10.37,23.842,-30.717,3.52,1.57,157,82.1,67,90.8,912,6.1,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,0.007,0.006,0,1,0,0,3,51,3,Slider,0,5,0,5,5,0,0,5,Standard,Standard,,-0.009,-0.297
SI,10/2/15,95,-2.88,6,"Arrieta, Jake",452252,453562,,ball,,,,,14,Adam Lind pops out to third baseman Javier Baez in foul territory.,R,L,R,MIL,CHC,B,,,1,0,2015,-1.16,1.05,0.42,0.44,,,502582,2,6,Bot,,,,,471083,,151002_211135,12.117,-137.216,-12.004,-17.122,28.866,-16.726,3.3,1.57,,,,95.1,2392,6.7,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,,,,,,,,51,2,Sinker,0,5,0,5,5,0,0,5,Standard,Standard,,0,0.041
SL,10/2/15,90,-3.14,6.37,"Arrieta, Jake",452252,453562,,ball,,,,,12,Adam Lind pops out to third baseman Javier Baez in foul territory.,R,L,R,MIL,CHC,B,,,0,0,2015,0.6,0.22,0.25,3.56,,,502582,2,6,Bot,,,,,471083,,151002_211113,7.758,-130.912,-1.587,5.302,25.49,-29.549,3.34,1.53,,,,89.9,2655,6.1,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,,,,,,,,51,1,Slider,0,5,0,5,5,0,0,5,Standard,Standard,,0,0.032
SI,10/2/15,95.9,-3.03,6.32,"Arrieta, Jake",502582,453562,field_error,hit_into_play,,,,,11,Logan Schafer reaches on a fielding error by third baseman Javier Baez.,R,L,R,MIL,CHC,X,5,ground_ball,0,1,2015,-0.95,1.11,-0.9,2.81,,,,2,6,Bot,111.29,176.34,,,471083,,151002_211019,8.428,-139.183,-6.637,-14.047,29.231,-16.627,3.23,1.37,74,100.4,1,96.6,2367,6.7,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,0.44,0.413,0.9,1,0,0,4,50,2,Sinker,0,5,0,5,5,0,0,5,Standard,Standard,,0.006,0.153
SL,10/2/15,90.9,-3.22,6.24,"Arrieta, Jake",502582,453562,,swinging_strike,,,,,5,Logan Schafer reaches on a fielding error by third baseman Javier Baez.,R,L,R,MIL,CHC,S,,,0,0,2015,0.68,0.46,-0.05,2.45,,,,2,6,Bot,,,,,471083,,151002_210957,7.058,-132.094,-4.946,6.555,25.029,-26.135,3.23,1.37,,,,90.7,2622,6.1,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,,,,,,,,50,1,Slider,0,5,0,5,5,0,0,5,Standard,Standard,,0,-0.016
SL,10/2/15,91.5,-3.22,6.28,"Arrieta, Jake",571697,453562,field_out,hit_into_play,,,,,9,"Scooter Gennett bunt grounds out, catcher Miguel Montero to first baseman Anthony Rizzo.",R,L,R,MIL,CHC,X,2,ground_ball,0,0,2015,0.52,0.35,0.54,1.96,,,,1,6,Bot,126.54,195.15,,,471083,,151002_210916,9.078,-132.933,-6.275,4.419,25.095,-27.093,3.15,1.45,,,,91.4,2644,6.1,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,,,0,,0,0,,49,1,Slider,0,5,0,5,5,0,0,5,Standard,Standard,,-0.007,0.02
SL,10/2/15,89.8,-2.89,6.31,"Arrieta, Jake",596143,453562,strikeout,swinging_strike,,,,,14,Luis Sardinas strikes out swinging.,R,L,R,MIL,CHC,S,2,,2,2,2015,0.95,-0.15,1.36,2.33,,,,0,6,Bot,,,,,471083,,151002_210837,9.246,-130.439,-3.817,8.903,26.154,-33.277,3.3,1.45,,,,89.5,,6.1,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,,,0,1,0,0,,48,6,Slider,0,5,0,5,5,0,0,5,Standard,Standard,,-0.012,-0.201
SI,10/2/15,94.9,-2.68,6.21,"Arrieta, Jake",596143,453562,,ball,,,,,9,Luis Sardinas strikes out swinging.,R,L,R,MIL,CHC,B,,,1,2,2015,-1.06,1.3,0.77,1.57,,,,0,6,Bot,,,,,471083,,151002_210819,12.274,-137.228,-10.005,-15.895,29.067,-14.025,3.22,1.57,,,,95.2,2385,6.8,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,,,,,,,,48,5,Sinker,0,5,0,5,5,0,0,5,Standard,Standard,,0,0.036
CU,10/2/15,82.1,-3.13,6.46,"Arrieta, Jake",596143,453562,,foul,,,,,14,Luis Sardinas strikes out swinging.,R,L,R,MIL,CHC,S,,,1,2,2015,1.16,-1.39,0.11,1.32,,,,0,6,Bot,,,,,471083,,151002_210755,5.533,-119.31,-2.487,9.739,24.811,-44.94,3.3,1.45,,,,80.7,1361,5.6,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,,,,,,,,48,4,Curveball,0,5,0,5,5,0,0,5,Standard,Standard,,0,0
CU,10/2/15,82.4,-2.89,6.45,"Arrieta, Jake",596143,453562,,ball,,,,,14,Luis Sardinas strikes out swinging.,R,L,R,MIL,CHC,B,,,0,2,2015,1.03,-1.33,1.02,0.19,,,,0,6,Bot,,,,,471083,,151002_210729,7.472,-119.603,-5.346,7.954,26.728,-43.713,3.22,1.61,,,,81.1,,6,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,,,,,,,,48,3,Curveball,0,5,0,5,5,0,0,5,Standard,Standard,,0,0.018
FF,10/2/15,95.1,-2.71,6.22,"Arrieta, Jake",596143,453562,,swinging_strike,,,,,6,Luis Sardinas strikes out swinging.,R,L,R,MIL,CHC,S,,,0,1,2015,-0.95,1.51,0.7,2.24,,,,0,6,Bot,,,,,471083,,151002_210710,11.961,-137.728,-8.744,-14.479,28.499,-11.501,3.3,1.45,,,,95.1,2359,6.4,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,,,,,,,,48,2,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,,0,-0.046
FF,10/2/15,94.8,-2.66,6.25,"Arrieta, Jake",596143,453562,,called_strike,,,,,5,Luis Sardinas strikes out swinging.,R,L,R,MIL,CHC,S,,,0,0,2015,-0.95,1.43,-0.14,2.32,,,,0,6,Bot,,,,,471083,,151002_210657,9.404,-137.383,-8.381,-13.916,28.423,-12.67,3.3,1.49,,,,94.9,2413,6.5,416037,453562,471083,519203,516770,595879,608365,592178,451594,457706,50,,,,,,,,48,1,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,,0,-0.032
SI,10/2/15,95.8,-2.74,6.31,"Arrieta, Jake",502213,453562,field_out,hit_into_play,,,,,2,Nevin Ashley grounds out to first baseman Anthony Rizzo.,R,R,R,MIL,CHC,X,3,ground_ball,1,0,2015,-1.28,0.96,0.16,2.78,,,,2,5,Bot,151.95,171.77,,,471083,,151002_205227,11.395,-138.825,-6.232,-18.878,30.973,-18.752,3.37,1.48,48,87.3,-1,95.5,2449,6.4,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,0.32,0.292,0,1,0,0,2,41,2,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,,-0.007,-0.113
